COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
2009-01070,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,64-37 232 St.,nyc,NY,,,Franklin Assoc Landscapers & ontract,115 Webster St.,Malverne,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-197118,,,,01/04/2024,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,0.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01305,,"VIKING SANITATION, INC.",TWC-1055,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Complaint,Quality of Life-Spillage - Trade Waste,foot of Brighton 6 St. and the boardwalk,nyc,NY,,Brooklyn,VIKING SANITATION INC.,243 DOUGLAS STREET,BROOKLYN,RENEWAL APPROVED,,(800) 889-1254,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01535,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192178,Trade Waste,"GAETA INTERIOR DEMOLITION, INC.",BIC-93,07/10/2015,Trade Waste,Active,PHONE - 6300,Resolved,Closed,5.0,Complaint,Other - All,240 Page Avenue,Staten Island,NY,,Staten Island,"GAETA INTERIOR DEMOLITION, INC.",25 VAN STREET,STATEN ISLAND,NY,10310,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-192272,Trade Waste,GUMA CONSTRUCTION CORP.,BIC-908,08/05/2015,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Containers-Unremoved - Trade Waste,1236 Pacific St,Brooklyn,NY,,,GUMA CONSTRUCTION CORP.,202 Plymouth St,Brooklyn,NY,11201-1124,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01473,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00916,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194964,,,,07/01/2019,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Containers-Unremoved - Trade Waste,,,,,,,,,,,,,,,,,True,False,,2024-02-21,,,,,,,,,
COMP-194173,Trade Waste,MID-BRONX HAULAGE CORP.,BIC-175,07/06/2018,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,0.0,Complaint,Quality of Life-Spillage - Trade Waste,305 E 161st Street,Bronx,NY,10451,Bronx,MID-BRONX HAULAGE CORP.,408 COSTER STREET,BRONX,NY,10474,,,,,,,True,False,Phone Call,2024-02-21,BRONX,40.825265,-73.917445,4,17,173,2115808,2024210045,East Concourse-Concourse Village
INQ-191857,,,,04/07/2015,Trade Waste,,WEB-MAIL,Referred To BIC Legal,Closed,20.0,Inquiry,Other - All,151 Industrial Loop,Staten Island,NY,10309-1100,Staten Island,,,,,,,,,,,,True,False,Phone Call,2024-02-21,STATEN IS,40.549455,-74.230538,3,51,226,5151682,5072060284,Charleston-Richmond Valley-Tottenville
2010-00661,,,TWC-0,,Trade Waste,,MAIL,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste,35-31 Utopia Parkway,nyc,NY,,Queens,Mike Landscaping,PO Box 324,S Jamesport,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00368,,MIDDLE EAST MANAGEMENT CORP,TWC-3356,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Criminal - All;Cardboard-Theft - Trade Waste,1368 Nostrand Ave; 17 &  5th,nyc,NY,,Brooklyn,MIDDLE EAST MANAGEMENT CORP,315A 9TH STREET,BROOKLYN,APPROVED,,(718) 768-2370,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00381,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196915,,,,05/15/2023,Trade Waste,,E-Mail,Referred to Another Agency,Closed,11.0,Complaint,Improper Disposal - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2010-01494,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01436,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192378,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,09/02/2015,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,0.0,Complaint,Service - All,415  Utica Avenue,Brooklyn,NY,11213,Brooklyn,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.664182,-73.931543,9,41,355,3038416,3014250006,Crown Heights South
INQ-190349,,,,03/25/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All;Decals - Trade Waste,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01502,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192614,Trade Waste;Transfer Station,FLAG CONTAINER SERVICES INC.,TS-29 / BIC-119,11/23/2015,Trade Waste,Active,PHONE - 6300,Unsubstantiated,Closed,8.0,Complaint,Quality of Life-Noise - Trade Waste,655 Rossville Avenue,Staten Island,NY,10309,Staten Island,FLAG CONTAINER SERVICES INC.,11 FERRY STREET,STATEN ISLAND,NY,10302,,,,,,,True,False,Phone Call,2024-02-21,STATEN IS,40.5426,-74.208333,3,51,20801,5079747,5061450300,Rossville-Woodrow
2010-02010,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00370,,SAGANA INDUSTRIES INC.,TWC-1852,,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,,Inquiry,Information - All,,,NY,,,SAGANA INDUSTRIES INC.,36-02 CRESCENT STREET,ASTORIA,RENEWAL EXTENSION,10016-,(347) 739-0360,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00380,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195207,,"GPB WASTE NY, LLC",BIC-491402,11/19/2019,Trade Waste,Active,PHONE - 6300,Resolved,Closed,3.0,Complaint,Rates-Overcharge - Trade Waste,323 7th Avenue,Brooklyn,NY,11215,Brooklyn,"GPB WASTE NY, LLC",535 W. 24TH ST. FLOOR 4,NEW YORK,NY,10011,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.667069,-73.981414,6,39,153,3025919,3010900074,Park Slope-Gowanus
INQ-191148,,,,09/25/2014,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Information - All,161 Pearsall Drive,"Mt. Vernon, New York",NY,10552,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-196681,,,,10/10/2022,Trade Waste,,PHONE - 6300,Resolved,Closed,1.0,Complaint,Waste Oil - Trade Waste,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2009-02026,,,TWC-0,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,,,,,,"Brinks, Nextcut",,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01913,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Unlicensed Landscaper - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-192006,,,,06/10/2015,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-195842,,,,03/04/2021,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,4.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
INQ-196415,Trade Waste,PRO LANDSCAPING & MAINTENANCE SERVICE INC.,BIC-3596,04/07/2022,Trade Waste,Active,WEB-MAIL,Referred To Licensing,Closed,1.0,Inquiry,Licensing - All,,,,,,PRO LANDSCAPING & MAINTENANCE SERVICE INC.,415 AVE M,BROOKLYN,NY,11230,718-252-5255,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-189909,Trade Waste,JEM SANITATION CORP.,BIC-218,12/17/2013,Trade Waste,Active,PHONE - 6300,Resolved,Closed,13.0,Complaint,Service - All,247 Bleeker Street,New York,,10014,Manhattan,JEM SANITATION CORP.,PO BOX 708,LYNDHURST,NJ,07071-,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.730829,-74.002757,2,3,67,1010063,1005890006,West Village
2009-01767,,,TWC-1445,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Containers-Unremoved - Trade Waste,150-14 18 Ave.,nyc,NY,,Queens,ALL-MINE CARTING CORP.,61 COMMERCE BLVD.,AMITYVILLE,EXPIRED,,(631) 888-0701,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01828,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00583,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,2533 Lodovick Ave.,nyc,NY,10469-,,Rosalyn Landscaping,94-26 34 Road  B5,,UNLICENSED,,,,,,,,False,False,,2024-02-21,BRONX,40.863295,-73.837058,11,13,310,2101868,2044920052,Allerton-Pelham Gardens
2012-00505,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00059,,"CONEY ISLAND CONTAINER, INC.",TWC-1629,,Trade Waste,,EMAIL,Violation Written,Closed,,Complaint,Containers-Abandoned - Trade Waste,675 Junius street,Brooklyn,NY,11212-,Brooklyn,"CONEY ISLAND CONTAINER, INC.",335 CHELSEA ROAD,STATEN ISLAND,RENEWAL PENDING,,(718) 966-2611,,,,,,False,False,,2024-02-21,BROOKLYN,40.657692,-73.900255,16,42,920,3000000,3038640006,Brownsville
2008-01396,,"CITY WASTE SERVICES OF NEW YORK, INC.",TWC-1153,,Trade Waste,,MAIL,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,43-29 218 Street Bayside,,NY,11361,Queens,CITY WASTE SERVICES INC.,167 33 PORTER ROAD,JAMAICA,RENEWAL PENDING,11361-,(718) 328-8582,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194765,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,03/15/2019,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,3.0,Complaint,Billing - All,150 E 58th Street,New York,NY,10155,Manhattan,"WASTE CONNECTIONS OF NEW YORK, INC.","120 WOOD AVENUE SOUTH, SUITE 302",ISELIN,NJ,08830,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.761398,-73.968183,6,4,11203,1036915,1013120041,Turtle Bay-East Midtown
2013-00946,,NEW YORK FAST CARTING CORP.,TWC-4496,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All;Unlicensed Carter - Trade Waste,,,,,,NEW YORK FAST CARTING CORP.,95-23 LIVERPOOL ST. 1ST FL.,JAMAICA,APPROVED,,(917) 447-6341,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191086,,,,09/08/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,3826 Dyre Avenue,Bronx,NY,,Bronx,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-191922,Trade Waste,CROWN WASTE CORP,BIC-311,05/12/2015,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,8.0,Complaint,Service - All,3523 Farrington St,Flushing,NY,11354-2826,Queens,CROWN WASTE CORP,P.O. BOX 1133,BETHPAGE,NY,11714-,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.764098,-73.831622,7,20,869,4112135,4049590007,Flushing
2008-00079,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00400,,,TWC-0,,Trade Waste,,PHONE - 6300,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste;Criminal - All;Cardboard-Theft - Trade Waste,149 St.; 880 River Ave,nyc,NY,,Bronx,Envy Carting,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01276,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,25 & 26 St. (betw 6th Ave & Bdwy),nyc,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00475,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194832,,,,04/24/2019,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,15.0,Inquiry,Other - All,201 12th Street,Brooklyn,NY,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
INQ-195964,,,,05/19/2021,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,1.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2007-00028,,,,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190516,Trade Waste,IMPERIAL SANITATION CORP.,BIC-340,05/05/2014,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Service - All,111 1st Avenue,New York,NY,10003,Manhattan,IMPERIAL SANITATION CORP.,18-61 41ST STREET,ASTORIA,NY,11105-,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.726834,-73.985853,3,2,38,1006284,1004480028,East Village
2008-00926,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194548,Trade Waste,J & R RENDERING INC.,BIC-1648,12/11/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Harassment - All,,,,,,J & R RENDERING INC.,6600 BLVD EAST SUITE 5M,WEST NEW YORK,NJ,07093-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00533,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-196944,,,,06/19/2023,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,1.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01792,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190458,,,,04/21/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All;Disposal - All,2750 Geirtsen Avenue,Brooklyn,NY,11239,Brooklyn,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-01593,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194001,,,,04/09/2018,Trade Waste,,WEB-MAIL,Resolved,Closed,1.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2011-00436,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00297,,P.M. WASTE & RUBBISH CONTRACTORS INC.,TWC-48,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,187 Columbia St.,Brooklyn,NY,,Brooklyn,P.M. WASTE AND RUBBISH CONTRACTORS,5112 FOSTER AVE,BROOKLYN,RENEWAL APPROVED,,(718) 451-0366,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01807,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Inquiry,Unlicensed Carter - Trade Waste,115-20 143 St/142-20 115 Ave.,,NY,,,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190634,,,,06/03/2014,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00591,,,,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00828,,"CROWN CONTAINER TRANSFER STATION CO., INC.",TWC-307,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Criminal - All;Cardboard-Theft - Trade Waste,37-27 74 St.,nyc,NY,,Queens,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,RENEWAL APPROVED,,(718) 527-1414,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00307,,FREEDOM DEMOLITION INC,TWC-1599,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,NY,,,FREEDOM DEMOLITION INC,52-15 11 TH STREET SUITE 10,LONG ISLAND CITY,RENEWAL APPROVED,,(718) 433-2121,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190672,,,,06/03/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,7.0,Inquiry,Information - All,50-02 23rd Street,New York,NY,11101,,,,,,,,,,,,,False,False,,2024-02-21,QUEENS,40.741343,-73.947198,2,26,1,4000541,4000710021,Hunters Point-Sunnyside-West Maspeth
2007-00512,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Other - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193375,,,,03/09/2017,Trade Waste,,311/PHONE - 9278,Resolved,Closed,1.0,Complaint,Quality of Life-Spillage - Trade Waste,252-20 Northern Blvd,Little Neck,NY,11362,Queens,,,,,,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.769974,-73.736051,11,19,150702,4537295,4082290006,Douglas Manor-Douglaston-Little Neck
2008-01393,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00803,,ROYAL WASTE SERVICES INC.,TWC-1240,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All;Recycling - Trade Waste,800 2nd Ave.between 42nd st and 43rd,NY,NY,,,ROYAL WASTE SERVICES INC.,187 40 HOLLIS AVENUE,HOLLIS,RENEWAL PENDING,,(718) 468-8679,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192284,,,,08/07/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,3.0,Complaint,Disposal - All,346 West 44th St,New York,NY,10036,Manhattan,Time Square Alliance,,,,,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.759099,-73.990207,4,3,121,1024975,1010340055,Clinton
INQ-190924,,,,08/06/2014,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-196100,,,,08/06/2021,Trade Waste,,WEB-MAIL,Resolved,Closed,10.0,Complaint,Quality of Life-Spillage - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2011-00966,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste,100-35 Atlantic Avenue,Richmond Hill,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00752,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Information - All,246 5th Avenue,UNKNOWN,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01267,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00517,,"BIO ENERGY DEVELOPMENT, INC.",TWC-3525,,Trade Waste,,PHONE,Resolved,Closed,,Complaint,Criminal - All;Waste Oil - Trade Waste,,,,,,"BIO ENERGY DEVELOPMENT, INC.",26-50 BQE WEST  UNT #D,WOODSIDE,RENEWAL APPROVED,,(718) 777-2262,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00249,,,,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01333,,"LIBERTY ASHES, INC.",TWC-112,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Other - All,,,NY,,,LIBERTY ASHES INC.,112 PHYLIS COURT,ELMONT,RENEWAL APPROVED,,(516) 354-6583,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-01025,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196628,Trade Waste,"LIBERTY ASHES, INC.",BIC-112,08/24/2022,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Other - All;Service - All,790 E 91st Street,Brooklyn,,,Brooklyn,LIBERTY ASHES INC.,94-02 150TH STREET,JAMAICA,NY,11435,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-195868,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,04/02/2021,Trade Waste,Active,WEB-MAIL,Resolved,Closed,3.0,Complaint,Billing - All;Contracts - Trade Waste,812 Grand Street,Brooklyn,NY,11211,,"WASTE CONNECTIONS OF NEW YORK, INC.","120 WOOD AVENUE SOUTH, SUITE 302",ISELIN,NJ,08830,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.711916,-73.941064,1,34,495,3069637,3027900020,East Williamsburg
2009-02002,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,259-47 149 Road,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00825,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,10038-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01055,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02273,,HERMES WASTE SERVICES CORP.,TWC-1507,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Information - All,,,,,,HERMES WASTE SERVICES CORP.,38-25 10TH STREET,LONG ISLAND CITY,RENEWAL APPROVED,,(718) 361-5255,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00794,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01318,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,,Complaint,Information - All,,,,,,N/A,,,,11701-,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194282,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,08/24/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,4.0,Complaint,Billing - All,226 W 116th Street,New York,NY,10026,Manhattan,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.803755,-73.953812,10,9,218,1085308,1018310043,Central Harlem South
2010-00384,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Other - All,,,,,,N/A,,,,10308-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01248,,STATEN ISLAND CARTING INC.,TWC-1730,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Quality of Life-Odor - Trade Waste,59 St Mary's Ave,nyc,NY,,Staten Island,STATEN ISLAND CARTING,137 SOUTH GOFF AVENUE,STATEN ISLAND,RENEWAL APPROVED,,(718) 227-5570,,,,,,False,False,,2024-02-21,,,,,,,,,
